CODIGO,STOCK
CMA2232000,0
CMA7510000,0
CMA7510350,0
CMA7518000,0
CMA7518350,0
CMA7519000,0
CMA7519350,0
CMA7601000,0
CMA7601360,0
CMA7603000,0
CMA7603360,0
CMA7604000,0
CMA7606000,0
CMA7607000,0
CMA7609000,0
CMA7609360,0
CMA7707000,2
CMA7708000,0
CMA7709000,0
CMA7711000,0
CMA7711350,0
CMA7718000,2
CMA7719000,0
CMA7722000,5
CMA7722350,1
CMA7724000,0
CMA7724350,1
CMA7726000,1
CMA7726350,1
CMA7809000,0
CMA7809350,3
CMA7812350,0
CMA7816000,2
CMA7816350,0
CMA7907000,0
CMA7907120,0
CMA7907130,0
CMA7916000,0
CMA7917000,0
CMA8222000,0
CMA8487000,0
CMA8607000,0
CMA8609000,1
CMA8614000,2
CMA8622000,3
CMA8626000,1
CMA8626350,0
CMA8636000,0
CMA8722000,5
CMA8722350,5
CMA8724000,1
CMA8788000,0
CMA8792000,1
CMA8792350,0
CMA8895000,0
CMA8895350,0
CMA9035000,2
CMA9036000,2
CMA9043000,1
CMA9043350,2
CMA9090000,0
CMA9152000,2
CMA9164000,2
CMA9164350,1
CMI0057000,1
CMI0057130,2
CMI0057140,0
CMI0090000,4
CMI0090130,0
CMI0090140,0
CMI0090160,0
CMK0069450,1
CMK0086000,0
CMK0086340,0
CMK0086360,0
CMK0086440,0
CMK0088000,0
CMK0088360,0
CMK0088380,0
CMK0088440,0
CMK0096000,0
CMK0096340,0
CMK0096360,2
CMK0096440,0
CMK0206000,0
CMK0206130,0
CMK0206140,0
CMK0914000,0
CMK0927000,1
CMK0938000,0
CMK0938120,0
CMK0938130,1
CMK0938140,0
CMK0938160,0
CMK0959000,0
CMK0959340,0
CMK0959360,0
CMK0959380,0
CMK0960000,0
CMK0967000,0
CMK0971000,0
CMK0971340,0
CMK0971360,1
CMK0971440,0
CMK0973000,2
CMK0973120,0
CMK0973130,0
CMK0973140,0
CMK0973160,0
CMK0974000,0
CMK0974130,0
CMK0974140,0
CMK0974160,0
CMK1736000,0
CMK1736350,0
CMK1736440,0
CML0055000,0
CML0055120,0
CML0055130,0
CML0055140,0
CML0055160,0
CML0094000,0
CML0094130,0
CML0094140,0
CML0095000,0
CML0095120,0
CML0095130,1
CML0095140,0
CML0097000,0
CML0097130,4
CML0097140,1
CML0097160,0
CMP0206000,0
CMP0206120,0
CMP0206130,1
CMP0206140,0
CMR0097000,0
CMR0097120,0
CMR0097130,0
CMR0097140,1
CNA7372000,0
CNA7372350,0
CNA7383350,0
CNA7506000,1
CNA7507000,0
CNA7507350,0
CNA7604340,0
CNA7604360,0
CNA7606360,0
CNA7606440,0
CNA7607340,0
CNA7607360,0
CNA7607440,0
CNA7610000,0
CNA7610340,0
CNA7702000,0
CNA7710000,1
CNA7710350,2
CNA7710440,0
CNA7812000,0
CNA7812350,0
CNA7812440,0
CNA7948000,0
CNA8817000,0
CNA8817130,0
CNT7513000,0
CNT7513130,0
CNT7513140,0
CNT7513160,0
CNT7517000,0
CNT7517130,0
CNT7517140,0
CNT7517160,0
CNT8816000,0
CNT8816130,1
CNT8816140,1
CRA7040000,3
CRA7040350,0
CRA7040440,0
CRA7042000,0
CRA7042350,0
CRA7042440,0
CRA7051000,0
CRA7052000,0
CRA7059000,0
CRA7060000,4
CRA7091000,0
CRA7091350,0
CRA7091440,0
CRA7093000,0
CRA7093350,0
CRA7131000,0
CRA7189000,6
CRA7197000,0
CRA7240000,0
CRA7243000,4
CRA7243350,1
CRA7272000,3
CRA7278000,0
CRA7282000,0
CRA7293000,4
CRA7293350,4
CRA7350000,0
CRA7370000,0
CRA7377000,0
CRA7377340,0
CRA7381000,10
CRA7382000,0
CRA7387000,1
CRA7387350,1
CRA7387420,0
CRA7441000,0
CRA7441360,0
CRA7441380,0
CRA7441440,0
CRA7456000,1
CRA7458000,5
CRA7461000,0
CRA7467000,0
CRA7503000,0
CRA7504000,0
CRA7600000,0
CRA7674000,2
CRA7674350,2
CRA7674420,0
CRA7676000,0
CRA7679000,0
CRA7687000,0
CRA7690000,22
CRA7691000,0
CRA7696000,8
CRA7703000,3
CRA7703350,2
CRA7705000,0
CRA7804000,0
CRA7804350,0
CRA7804440,0
CRA7903000,5
CRA7903350,3
CRA7904000,0
CRA7952000,0
CRA7957000,0
CRA7960000,0
CRA7961000,0
CRA7967000,0
CRA7974000,0
CRA7975000,0
CRA7975350,0
CRA7979000,0
CRA7981000,0
CRA7984000,0
CRA7984350,0
CRA7989000,3
CRA7993000,0
CRA7994000,1
CRA7996000,0
CRA7997000,0
CRA7998000,0
CRA8004000,0
CRA8447000,0
CRA8447340,0
CRA8447360,1
CRA8447440,0
CRA8452000,0
CRA8496000,1
CRA8496350,1
CRA8535000,0
CRA8537000,0
CRA8540000,1
CRA8541000,0
CRA8603000,3
CRA8603350,2
CRA8627000,2
CRA8638000,0
CRA8644000,1
CRA8644350,1
CRA8725000,0
CRA8892000,0
CRA8892350,0
CRA8985000,0
CRA8986000,0
CRA9016000,0
CRA9054000,0
CRA9104000,0
CRA9104350,0
CRA9148000,0
CRA9149000,0
CRA9154000,0
CRA9156000,0
CRA9157000,0
CRA9157350,0
CRA9167000,0
CRA9503000,0
CRA9510000,1
CRA9511000,1
CRA9511350,2
CRA9517000,0
CRA9517350,1
CRA9536000,5
CRA9537000,1
CRA9537350,1
CRA9538000,0
CRA9538350,0
CRA9555000,2
CRA9555360,2
CRF7457000,1
CRO7038000,0
CRO7039000,6
CRO7056000,0
CRO7058000,0
CRO7179000,0
CRO7269000,17
CRO7911000,0
CRO8765000,0
CRO9151000,0
CRT7033000,0
CRT7053000,0
CRT7055000,0
CRT7136000,0
CRT7188000,0
CRT7365000,0
CRT7365350,0
CRT7705000,0
CRT7705350,1
CSA0934000,0
CSB0925000,0
CSB0934000,0
CSB1193000,0
CSB1196000,0
CSC0244000,0
CSC0407000,5
CSC0444000,15
CSC0925000,0
CSC1196000,0
CSD0244000,0
CSH0217000,0
CSH1193000,0
CSH1195000,12
CSI0100000,1
CSI0844000,0
CSK0229000,0
CSK0230000,0
CSK0266000,0
CSK0268350,0
CSK0950000,0
CSK1406000,0
CSL0930000,0
CSL0957000,0
CSR0229000,0
CSR1193000,0
CSR1406000,8
CSR1787000,0
CSR1787340,0
CSR1787360,2
CTI0099000,1
CTK0069000,0
CTK0069340,1
CTK0069360,4
CTK0069380,1
CTK0069440,4
CTK0069450,0
CTK0086360,0
CTK0086440,0
CTK0088000,1
CTK0088340,0
CTK0088360,2
CTK0088380,1
CTK0088440,2
CTK0096440,0
CTK0449000,0
CTK0921000,0
CTK0959000,0
CTK1781000,0
CTK1781360,0
CTK1781380,0
CTK1781440,0
CTR1199000,0
CTR1199360,1
CTR1199440,4
CXK0139000,0
CXK0139350,0
CXK0460000,0
EMA7440000,0
EMA7520000,0
EMA7520350,0
EMA7520440,0
EMA7521000,7
EMA7521350,4
EMA7521440,1
EMA7527000,0
EMA7527350,1
EMA7528000,0
EMA7528350,0
EMA7611000,1
EMA7611320,0
EMA7611340,0
EMA7611360,0
EMA7612000,1
EMA7612340,1
EMA7612360,3
EMA7613000,0
EMA7613350,0
EMA7615000,2
EMA7615340,5
EMA7615360,10
EMA7713000,1
EMA7713350,1
EMA7716000,12
EMA7716350,1
EMA7717000,3
EMA7717350,4
EMA7720000,1
EMA7721000,1
EMA7723000,18
EMA7723350,2
EMA7725000,1
EMA7725350,7
EMA7730000,1
EMA7731000,0
EMA7731350,1
EMA7813000,6
EMA7813350,1
EMA7813440,9
EMA7814000,7
EMA7814350,2
EMA7814440,2
EMA7815000,0
EMA7815350,15
EMA7820000,0
EMA7820350,3
EMA7908000,0
EMA7908120,0
EMA7908130,0
EMA8151350,0
EMA8601000,3
EMA8601350,6
EMA8751000,0
EMA8751350,0
EMA8752000,2
EMA9161000,5
EMA9162000,0
EMA9162350,0
EMA9166000,0
EMA9168000,0
EMA9505000,0
EMA9505350,0
EMA9506000,2
EMA9506350,2
EMA9509000,2
EMA9509360,1
EMA9512000,0
EMA9512360,2
EMA9520000,0
EMA9520350,2
EMA9521000,0
EMA9521350,1
EMA9524000,0
EMA9524360,0
EMA9539000,0
EMA9539350,0
EMA9556000,0
EMA9556350,0
EMA9557000,0
EMA9558000,0
EMA9572000,0
EMA9572350,0
NHB0078000,2
NHB0078350,0
NHB0078440,0
NHB0444000,2
NHC0078000,2
NHC0078350,3
NHC0078440,11
NHC0407000,0
NHC0444000,9
NHC0445000,0
NHI0057000,1
NHI0057120,2
NHI0057130,11
NHI0057140,10
NHI0057160,1
NHI0090000,14
NHI0090130,6
NHI0090140,1
NHI0090D 20,7
NHI0090D 60,0
NHI0098000,0
NHI0098350,5
NHI0098440,8
NHI0099000,22
NHI0099350,1
NHI0099440,10
NHI1261000,0
NHK0069000,1
NHK0069340,0
NHK0069360,1
NHK0069380,1
NHK0069440,2
NHK0069450,2
NHK0086000,2
NHK0086340D,1
NHK0086360,5
NHK0086380D,1
NHK0086440,4
NHK0088000,1
NHK0088340D,2
NHK0088360,2
NHK0088380,5
NHK0088440,1
NHK0096000,3
NHK0096340,6
NHK0096360,6
NHK0096380,1
NHK0096440,4
NHK0139000,1
NHK0139350,1
NHK0139440,1
NHK0449000,2
NHK0450000,1
NHK0460000,1
NHK0914000,2
NHK0921000,1
NHK0927000,4
NHK0938000,1
NHK0938120,0
NHK0938130,3
NHK0938140,2
NHK0938160,1
NHK0950000,2
NHK0950350,6
NHK0953000,3
NHK0959000,7
NHK0959340,1
NHK0959360,5
NHK0959380,7
NHK0959440,2
NHK0960000,1
NHK0961000,11
NHK0967000,2
NHK0971000,3
NHK0971360,3
NHK0971380,1
NHK0971440,3
NHK0973000,1
NHK0973120D,6
NHK0973130,2
NHK0973140,3
NHK0973160,1
NHK0974000,2
NHK0974130,0
NHK0974140,3
NHK0974160,2
NHK0974D120,1
NHK1047000,7
NHK1047350,10
NHK1089000,4
NHK1198000,6
NHK1198360,2
NHK1199000,3
NHK1199340,4
NHK1199360,2
NHK1199380,4
NHK1199440,3
NHK1204000,30
NHK1204350,24
NHK1205000,1
NHK1261000,4
NHK1323000,3
NHK1406000,5
NHK1407000,9
NHK1575000,15
NHK1575340,5
NHK1575360,7
NHK1575380,4
NHK1575440,2
NHK1602000,8
NHK1642000,2
NHK1642340,1
NHK1736000,6
NHK1736350,4
NHK1736440,3
NHK1776000,5
NHK1776350,11
NHK1781000,1
NHK1781340,6
NHK1781360,8
NHK1781380D,0
NHK1781440,1
NHK1786000,8
NHK1786350,4
NHK1786440,5
NHK1787000,2
NHK1787340,2
NHK1787360,2
NHK1787380,9
NHK1787440,6
NHK1874000,1
NHK1874350,8
NHK1875000,5
NHK1875350,9
NHK1946000,11
NHK1946350,4
NHK1946440,10
NHK1948000,12
NHK1948350,4
NHK1950000,22
NHK1950350,3
NHK1950440,5
NHK1953000,3
NHL0055000,3
NHL0055120,1
NHL0055130,2
NHL0055140,2
NHL0055160,2
NHL0094000,2
NHL0094120,13
NHL0094130,1
NHL0094140,1
NHL0095000,2
NHL0095120D,4
NHL0095130,3
NHL0095140,2
NHL0095160,0
NHL0097000,4
NHL0097120,10
NHL0097130,5
NHL0097140,1
NHL0097160,2
NHL0100000,1
NHL0672000,1
NHL0672120,2
NHL0672130,0
NHL0672140,0
NHL0844000,1
NHP0206000,4
NHP0206130,1
NHP0206140,2
NHP0206160,3
NHR0097000,2
NHR0097120,0
NHR0097130,0
NHR0097140,10
NHR1199000,6
NHR1199340,4
NHR1199360,3
NHR1204000,3
NHR1204350,9
NHR1204440D,3
NHR1406000,6
NHR1407000,5
NHR1407350,18
NHR1642000,6
NHR1776000,1
NHR1776350,4
NHR1782000,8
NHR1782350,10
NHR1787000,4
NHR1787340,8
NHR1787360,0
NHR1875000,4
NHR1875350,9
NHS1199000,8
NHS1199340,5
NHS1199360,13
NHS1406000,6
NHS1950000,3
NHS1950350,3
NMH1158000,0
NNH0034000,0
NNH0619000,0
NNH0620000,0
NNH0621000,0
NNH1158000,0
NNH1708000,0
NNH1708350,0
NNH1708420,0
NNH1708430,0
NNH1708440,0
NNH1738000,0
NNH1738350,0
NNH1738440,0
NNH1770000,0
NNH1770350,0
NNH1770420,0
NNH2097000,0
NNH2104000,0
NNH2123000,0
NNH2123110,0
NNI1945000,0
NNR1708000,1
NTH1295000,0
NTH1295350,0
NTH1295420,0
NTH1322000,0
NTH1322350,0
NTH1322420,0
NTH1681000,0
NTH1681110,0
NTH1681120,0
NTH2117000,0
NTH2125000,0
NTH2125110,0
NTH2125120,0
NTH2125130,0
NTI0099000,0
NTI0099350,0
NYI0034000,10
NYI0034110,0
NYI0034120,17
NYI0034130,0
NYI0034140,17
PHA7803000,0
PHA7803350,0
PMA1874000,4
PMA2413 0.6,1
PMA2413 STD,2
PMA2515 0.5,0
PMA3102 0.5,4
PMA3102 STD,6
PMA3108 0.5,0
PMA3108 STD,5
PMA7440000,2
PMA7506440,4
PMA7508000,2
PMA7510000,6
PMA7510350,5
PMA7518000,6
PMA7518350,12
PMA7519000,20
PMA7519350,15
PMA7520000,5
PMA7520350,11
PMA7521000,6
PMA7521350,11
PMA752144D,6
PMA7528000,4
PMA7528350,13
PMA7530000,3
PMA7601000,3
PMA7601320,0
PMA7601360,5
PMA7603000,3
PMA7603360,2
PMA7604000,3
PMA7606000,3
PMA7607000,6
PMA7607440,5
PMA7608000,13
PMA7608360,16
PMA7608440,7
PMA7609000,3
PMA7609360,0
PMA7612000,18
PMA7612340,5
PMA7612360,5
PMA7613000,13
PMA7613350,11
PMA7615000,12
PMA7615340,7
PMA7615360,8
PMA7702000,2
PMA7707000,3
PMA7708000,1
PMA7709000,4
PMA7711000,1
PMA7711350,1
PMA7713000,0
PMA7716000,13
PMA7716350,10
PMA7717000,10
PMA7720000,6
PMA7720350P,7
PMA7722000,3
PMA7722350,5
PMA7723000,8
PMA7723350,26
PMA7724000,15
PMA7724350,12
PMA7724440D,3
PMA7725000,5
PMA7725350,12
PMA7726000,21
PMA7726350,9
PMA7810000,0
PMA7810350,0
PMA7813000,10
PMA7813350,5
PMA7814000,15
PMA7814350,28
PMA7814440,11
PMA7815000,15
PMA7816000,4
PMA7816350,4
PMA7820000,6
PMA7820350,13
PMA8601000,33
PMA8601350,6
PMA8607000,2
PMA8609000,1
PMA8614000,1
PMA8622000,2
PMA8636000,0
PMA8722000,6
PMA8724000,6
PMA8788000,0
PMA8792000,4
PMA8792350,2
PMA9035000,2
PMA9036000,1
PMA9043000,5
PMA9043350,4
PMA9152000,1
PMA9164000,2
PMA9164350,2
PMA9166000,0
PMA9167000,2
PMA9505000,4
PMA9505350,12
PMA9523000,0
PMA9557000,0
PMT7707000,0
PNA2249000,0
PNA2249120,0
PNA2249130,0
PNA2350000,0
PNA2350110,0
PNA2350120,0
PNA2367000,0
PNA2367110,0
PNA2367120,0
PNA2367130,0
PNA2651000,0
PNA2701000,0
PNA2704000,0
PNA2704120,0
PNA7441000,1
PNA7441440,2
PNA7462000,0
PNA7462120,0
PNA7504000,6
PNA7504350,3
PNA7504440,0
PNA7505000,5
PNA7505350,0
PNA7505440,3
PNA7506000,4
PNA7506350,2
PNA7507000,0
PNA7508440,1
PNA7509000,3
PNA7509350,3
PNA7509440,0
PNA7510440,6
PNA7604360,2
PNA7606360,1
PNA7606440,4
PNA7607360,1
PNA7607440,0
PNA7703000,9
PNA7710000,7
PNA7710350,5
PNA7710440,4
PNA7809000,1
PNA7809350,2
PNA7985000,0
PNA7985120,0
PNA7988000,0
PNA7988120,0
PNA8296000,0
PNA8296360,0
PNA8296440,0
PNA8443000,1
PNA8443360,3
PNA8443440,1
PNA8535000,0
PNA8537000,0
PNA8626000,2
PNA8626350,2
PNA8644000,0
PNA8644350,1
PNA9517000,2
PNA9517350,2
PNO3155000,0
PNO3155120,0
PNO3165000,0
PNO3165120,0
PNT7511000,0
PNT7511120,0
PNT7511130,0
PNT7511140,0
PNT7511160,0
PNT7513130,0
PNT7513140,0
PNT7513160,0
PNT7517000,0
PNT7517120,0
PNT7517130,0
PNT7517140,0
PNT7517160,0
PSA2149000,0
PSA2149110,0
PSA2149120,0
PSA2385000,0
PSA2385120,0
RMK0953000,0
RMK0961000,0
RMK1089000,0
RMK1261000,0
RTH1786000,0
YMA7522000,0
YMA7714350,3
YMA7909000,0
YMA7909120,0
YRA2030000,1
YRA2030340,0
YRA2030360,3
YRA7311000,0
YRA7464000,3
YRA8480000,0
YRA8542000,0
YRA8625000,1
YRA8625350,1
YRA8631000,3
YRA8656000,0
YRA8723000,9
YRA8723350,10
YRA8726000,0
YRA8726350,0
YRA8732000,0
YRA8732350,1
YRA8815000,0
YRA8902000,0
YRA9039000,1
YRA9039350,4
YRO7058000,0
YSA1248000,0
YSA1248350,0
YSI1248000,0
YSI1248350,0
YSS0444000,0
